site_name,os_type_1,os_type_2,os_type_2,pf_type,pf_registration
100percentfedup.com,bias,,,,
16wmpo.com,,,,Imposter site,"Scottsdale, Ariz. **"
16wmpo.com,fake,,,,
21stcenturywire.com,conspiracy,,,,
247newsmedia.com,,,,Fake news,"Kumanovo, Macedonia"
24newsflash.com,fake,,,,
24online.news,,,,Imposter site,"Panama, Pa. **"
24wpn.com,,,,Fake news,"Veles, Macedonia"
24wpn.com,fake, ,,,
365usanews.com,bias,conspiracy,,,
4threvolutionarywar.wordpress.com,bias,conspiracy,,,
70news.wordpress.com,fake,,,,
82.221.129.208,conspiracy,fake,,,
aanirfan.blogspot.co.uk,unreliable,,,,
abcnews.com.co,,,,Imposter site,"Phoenix, Ariz."
abcnews.com.co,fake,,,,
abcnewsgo.co,fake,,,,
abeldanger.net,conspiracy,,,,
abovetopsecret.com,conspiracy,rumor,,,
abriluno.com,satire,fake,,,
aceflashman.wordpress.com,satire,,,,
actforamerica.org/news,hate,,,,
acting-man.com,unreliable,conspiracy,,,
activistpost.com,conspiracy,,,,
actualidadpanamericana.com,,,,Parody site,"Scottsdale, Ariz. **"
actualidadpanamericana.com,satire,,,,
addictinginfo.org,clickbait,unreliable,,,
adflegal.org/media,hate,,,,
adobochronicles.com,satire,,,,
advocate.com,political,reliable,,,
aheadoftheherd.com,bias,,,,
ahtribune.com,unreliable,bias,,,
alabamaobserver.com,,,,Imposter site,"Toronto, Canada !!!"
allnewspipeline.com,unreliable,conspiracy,,,
alternativemediasyndicate.com,fake,,,,
alternet.org,political,reliable,,,
alt-market.com,conspiracy,bias, ,,
americablog.com,bias,clickbait,,,
americanborderpatrol.com,hate,,,,
americanflavor.news,,,,Fake news,"Panama, Pa. *"
americanfreepress.net,conspiracy,bias,,,
americankabuki.blogspot.com,junksci,,,,
americanlookout.com,bias,clickbait,,,
americannews.com,fake,,,,
americannewsx.com,political,bias,satire,,
americanoverlook.com,fake,,,,
americanpatriotdaily.com,bias,clickbait,bias,,
americanpeoplenetwork.com,,,,Fake news,"Veles, Macedonia"
americanpoliticnews.co,,,,Fake news,Came up as available for use
americanpoliticnews.co,fake,,,,
