site_name,pf_type,pf_registration
MetropolitanWorlds.com,Fake news,"Accra, Ghana"
DailySurge.com,Fake news,"Alexandria, Va."
Anonjekloy.tk,Fake news,"Amsterdam, Netherlands"
Konkonsagh.biz,Fake news,"Ashanti, Ghana"
USHerald.com,Fake news,"Austin, Texas"
ReligionMind.com,Fake news,"Balangoda, Sri Lanka"
HealthyCareAndBeauty.com,Some fake stories,"Berlin, Germany"
ENHLive.com,Fake news,"Bea, Calif."
FederalistTribune.com,Fake news,"Bea, Calif."
USAPoliticsToday.com,Fake news,"Bea, Calif."
TheNet24h.com,Fake news,"Brisbane, Australia"
President45DonaldTrump.com,Fake news,"Burlington, Mass. "
AmericanPoliticNews.co,Fake news,Came up as available for use
ConservativeInfoCorner.com,Fake news,Came up as available for use
SouthernConservativeExtra.com,Fake news,Came up as available for use
NativeAmericans.us,Some fake stories,"Cary, N.C."
DailyNewsPosts.info,Fake news,"Chesterbrook, Pa."
EmpireNews.net,Parody site,"Chesterbrook, Pa."
Times.com.mx,Imposter site,"Chesterbrook, Pa."
USATodayNews.me,Imposter site,"Chesterbrook, Pa."
En-Volve.com,Fake news,"Chesterbrook, Pa."
TrueAmericans.me,Fake news,"Chesterbrook, Pa."
AMPosts.com,Fake news,"Chesterbrook, Pa."
ConservativeSpirit.com,Fake news,"Chesterbrook, Pa."
DepartedMedia.com,Fake news,"Chesterbrook, Pa."
NewsBreaksHere.com,Fake news,"Chesterbrook, Pa."
TheUSA-News.com,Fake news,"Chesterbrook, Pa."
TrueTrumpers.com,Fake news,"Chesterbrook, Pa."
DamnLeaks.com,Fake news,"Colorado Springs, Colo. "
LibertyAlliance.com,Fake news,"Dallas, Ga. "
ThatViralFeed.net,Some fake stories,"Denver, Colo."
Smag31.com,Some fake stories,"Dundalk, Ireland"
DonaldTrumpPOTUS45.com,Fake news,"Free Union, Va."
TheNationalMarijuanaNews.com,Some fake stories,"Henderson, Nev."
NotAllowedTo.com,Fake news,
Politicalo.com,Parody site,"Jerusalem, Israel"
Politicass.com,Parody site,"Jerusalem, Israel"
Politicono.com,Parody site,"Jerusalem, Israel"
