site_name,os_type_1,os_type_2,os_type_2_1,pf_type,pf_registration,
100percentfedup.com,bias,,,,,
16wmpo.com,fake,,,Imposter site,Scottsdale, Ariz. **
21stcenturywire.com,conspiracy,,,,,
247newsmedia.com,,,,Fake news,Kumanovo, Macedonia
24newsflash.com,fake,,,,,
24online.news,,,,Imposter site,Panama, Pa. **
24wpn.com,fake,,,Fake news,Veles, Macedonia
365usanews.com,bias,conspiracy,,,,
4threvolutionarywar.wordpress.com,bias,conspiracy,,,,
70news.wordpress.com,fake,,,,,
82.221.129.208,conspiracy,fake,,,,
aanirfan.blogspot.co.uk,unreliable,,,,,
abcnews.com.co,fake,,,Imposter site,Phoenix, Ariz.
abcnewsgo.co,fake,,,,,
abeldanger.net,conspiracy,,,,,
abovetopsecret.com,conspiracy,rumor,,,,
abriluno.com,satire,fake,,,,
aceflashman.wordpress.com,satire,,,,,
actforamerica.org/news,hate,,,,,
acting-man.com,unreliable,conspiracy,,,,
activistpost.com,conspiracy,,,,,
actualidadpanamericana.com,satire,,,Parody site,Scottsdale, Ariz. **
addictinginfo.org,clickbait,unreliable,,,,
adflegal.org/media,hate,,,,,
adobochronicles.com,satire,,,,,
advocate.com,political,reliable,,,,
aheadoftheherd.com,bias,,,,,
ahtribune.com,unreliable,bias,,,,
alabamaobserver.com,,,,Imposter site,Toronto, Canada !!!
allnewspipeline.com,unreliable,conspiracy,,,,
alt-market.com,conspiracy,bias,,,,
alternativemediasyndicate.com,fake,,,,,
alternet.org,political,reliable,,,,
americablog.com,bias,clickbait,,,,
americanborderpatrol.com,hate,,,,,
americanflavor.news,,,,Fake news,Panama, Pa. *
americanfreepress.net,conspiracy,bias,,,,
americankabuki.blogspot.com,junksci,,,,,
americanlookout.com,bias,clickbait,,,,
americannews.com,fake,,,,,
americannewsx.com,political,bias,satire,,,
americanoverlook.com,fake,,,,,
americanpatriotdaily.com,bias,clickbait,bias,,,
americanpeoplenetwork.com,,,,Fake news,Veles, Macedonia
americanpoliticnews.co,fake,,,Fake news,Came up as available for use,
americanpresident.co,fake,,,Fake news,Tblisi, Georgia
americanprogress.org,political,reliable,,,,
americanreviewer.com,conspiracy,,,,,
americanthinker.com,bias,,,,,
americantoday.news,rumor,bias,,,,
americasfreedomfighters.com,bias,clickbait,,,,
ammoland.com,bias,,,,,
amplifyingglass.com,clickbait,satire,,,,
amposts.com,fake,,,Fake news,Chesterbrook, Pa.^
amren.com,hate,,,,,
amtvmedia.com,rumor,unreliable,,,,
amusmentic.com,clickbait,rumor,,,,
ancient-code.com,junksci,unreliable,,,,
anews24.org/,fake,,,Fake news,Panama, Pa. *
angrypatriotmovement.com,conspiracy,fake,,Fake news,Scottsdale, Ariz. **
anonews.co,unreliable,,,,,
anonhq.com,unreliable,,,,,
anonjekloy.tk,fake,,,Fake news,Amsterdam, Netherlands
anonnews.co,unreliable,,,,,
anotherdayintheempire.com,bias,conspiracy,,,,
antiwar.com,bias,unreliable,,,,
antoniusaquinas.wp.com,bias,conspiracy,,,,
aryannationswordwide1488.org,hate,,,,,
asia-pacificresearch.com,unreliable,satire,,,,
assassinationscience.com,conspiracy,junksci,,,,
associatedmediacoverage.com,satire,,,Parody site,Scottsdale, Ariz. **
attn.com,political,clickbait,,,,
aurora-news.us,fake,,,Imposter site,Santiago, Chile
automaticearth.com,unreliable,,,,,
automotostar.com,clickbait,,,,,
awarenessact.com,conspiracy,junksci,,,,
awazetribune.com,satire,,,,,
awdnews.com,conspiracy,,,,,
awm.com,unreliable,bias,clickbait,,,
baptistnews.com,political,,,,,
barenakedislam.com,hate,,,,,
barnesreview.org,hate,,,,,
bb4sp.com,conspiracy,bias,fake,Fake news,Midwest City, Okla.
beehivebugle.com,satire,,,,,
beforeitsnews.com,fake,conspiracy,rumor,Fake news,Scottsdale, Ariz. **
